Division,Action Items,Deliverables
FMS,Provision of Safety Animation Video NERC HQ Building,Financial Bid Opening & Evaluation
FMS,Provision of Safety Animation Video NERC HQ Building,Chairman Approval
FMS,Provision of Safety Animation Video NERC HQ Building,Award of Contact and Signing
FMS,Provision of Safety Animation Video NERC HQ Building,Project Execution and Payments
FMS,Provision of Security Canopy and Porta Cabin for security/driver/cleaning Personnel,Memo to Chairman/Comm F&MS/Procurement
FMS,Provision of Security Canopy and Porta Cabin for security/driver/cleaning Personnel,RFQs
FMS,Provision of Security Canopy and Porta Cabin for security/driver/cleaning Personnel,Technical Evaluation
FMS,Provision of Security Canopy and Porta Cabin for security/driver/cleaning Personnel,Chairman Approval of Technical Evaluation
FMS,Provision of Security Canopy and Porta Cabin for security/driver/cleaning Personnel,Financial Bid Opening & Evaluation
FMS,Provision of Security Canopy and Porta Cabin for security/driver/cleaning Personnel,Chairman Approval
FMS,Provision of Security Canopy and Porta Cabin for security/driver/cleaning Personnel,Award of Contact and Signing
FMS,Provision of Security Canopy and Porta Cabin for security/driver/cleaning Personnel,Project Execution and Payments
FMS,Procurement of Project Vehicles,Advert / Invitation to Tender
FMS,Procurement of Project Vehicles,Technical Evaluation
FMS,Procurement of Project Vehicles,NTB Approval of Technical Evaluation
FMS,Procurement of Project Vehicles,Financial Bid Opening & Evaluation
FMS,Procurement of Project Vehicles,NTB or MoP Approval
FMS,Procurement of Project Vehicles,Award of Contact and Signing
FMS,Procurement of Project Vehicles,Project Execution and Payments
FMS,Continous Improvement of NERC Headquarters Building (As need arises),Memo to Chairman/Comm F&MS/Procurement
FMS,Continous Improvement of NERC Headquarters Building (As need arises),RFQs
FMS,Continous Improvement of NERC Headquarters Building (As need arises),Technical Evaluation
FMS,Continous Improvement of NERC Headquarters Building (As need arises),Chairman Approval of Technical Evaluation
FMS,Continous Improvement of NERC Headquarters Building (As need arises),Financial Bid Opening & Evaluation
FMS,Continous Improvement of NERC Headquarters Building (As need arises),Chairman Approval
FMS,Continous Improvement of NERC Headquarters Building (As need arises),Award of Contact and Signing
FMS,Continous Improvement of NERC Headquarters Building (As need arises),Project Execution and Payments
FMS,Maintenance of two (2) units of 1000kVA generators by Mantrac,Memo to Chairman/Comm F&MS/Procurement
FMS,Maintenance of two (2) units of 1000kVA generators by Mantrac,RFQs
FMS,Maintenance of two (2) units of 1000kVA generators by Mantrac,Technical Evaluation
FMS,Maintenance of two (2) units of 1000kVA generators by Mantrac,Chairman Approval of Technical Evaluation
FMS,Maintenance of two (2) units of 1000kVA generators by Mantrac,Financial Bid Opening & Evaluation
FMS,Maintenance of two (2) units of 1000kVA generators by Mantrac,Chairman Approval
FMS,Maintenance of two (2) units of 1000kVA generators by Mantrac,Award of Contact and Signing
FMS,Maintenance of two (2) units of 1000kVA generators by Mantrac,Project Execution and Payments
FMS,Maintenance of VRV A/C system,Memo to Chairman/Comm F&MS/Procurement
FMS,Maintenance of VRV A/C system,RFQs
FMS,Maintenance of VRV A/C system,Technical Evaluation
FMS,Maintenance of VRV A/C system,Chairman Approval of Technical Evaluation
FMS,Maintenance of VRV A/C system,Financial Bid Opening & Evaluation
FMS,Maintenance of VRV A/C system,Chairman Approval
FMS,Maintenance of VRV A/C system,Award of Contact and Signing
FMS,Maintenance of VRV A/C system,Project Execution and Payments
FMS,Security Services in NERC HQ Building,BPP Approval
FMS,Security Services in NERC HQ Building,RFQs
FMS,Security Services in NERC HQ Building,Technical Evaluation
FMS,Security Services in NERC HQ Building,Chairman or NTB Approval of Technical Evaluation
FMS,Security Services in NERC HQ Building,Financial Bid Opening & Evaluation
FMS,Security Services in NERC HQ Building,Chairman or NTB Approval
FMS,Security Services in NERC HQ Building,Award of Contact and Signing
FMS,Security Services in NERC HQ Building,Project Execution and Payments
FMS,Security Services in NERC HQ Building,BPP Approval
FMS,Security Services in NERC HQ Building,RFQs
FMS,Security Services in NERC HQ Building,Technical Evaluation
FMS,Security Services in NERC HQ Building,Chairman or NTB Approval of Technical Evaluation
FMS,Security Services in NERC HQ Building,Financial Bid Opening & Evaluation
FMS,Security Services in NERC HQ Building,Chairman or NTB Approval
FMS,Security Services in NERC HQ Building,Award of Contact and Signing
FMS,Security Services in NERC HQ Building,Project Execution and Payments
FMS,Maintenance of Current (old) Elevators,Memo to Chairman/Comm F&MS/Procurement
FMS,Maintenance of Current (old) Elevators,RFQs
FMS,Maintenance of Current (old) Elevators,Technical Evaluation
FMS,Maintenance of Current (old) Elevators,Chairman Approval of Technical Evaluation
FMS,Maintenance of Current (old) Elevators,Financial Bid Opening & Evaluation
FMS,Maintenance of Current (old) Elevators,Chairman Approval
FMS,Maintenance of Current (old) Elevators,Award of Contact and Signing
FMS,Maintenance of Current (old) Elevators,Project Execution and Payments
FMS,2023 Budget Performance,1st Quarter
FMS,2023 Budget Performance,2nd Quarter
FMS,2023 Budget Performance,3rd  Quarter
FMS,2023 Budget Performance,4th Quarter
FMS,2024 Budget,Budget  Execution and performance Monitoring
FMS,2024 Budget,Preparation of 2024 Budget Proposal
FMS,2024 Budget,Submission of 2024 Budget Proposal to Stakeholders
FMS,Revenue,Revenue monitoring and updating
FMS,Expenditure,Vendor and Staff Claims
FMS,Payroll,Monthly salary
FMS,Statutory Remittances,Pensions
FMS,Statutory Remittances,Tax returns
FMS,Account Reconcilliation,CBN TSA
FMS,Account Reconcilliation,CBN Domicilliary
FMS,2022 Audit of Commission's Account,Commencement of 2022 Audit of Commission's account
FMS,2022 Audit of Commission's Account,Finalization of 2022 Audit of Commission's account
CA,Transferring Compliants Resolution Meetings to DisCos,2023 Q1
CA,Transferring Compliants Resolution Meetings to DisCos,Collate submission from DisCos
CA,Transferring Compliants Resolution Meetings to DisCos,Cordinate submission for Commission's consideration and request approval for Forum Secretaries participation
CA,Transferring Compliants Resolution Meetings to DisCos,Paricipation  of Forum Secretaties in Complaints Resolution Meetings
CA,Transferring Compliants Resolution Meetings to DisCos,Submission of quartely Reports
CA,Customer Enumeration - Strategic Partnership with National Population Commission on 2023 Census,Meeting with NPC
CA,Customer Enumeration - Strategic Partnership with National Population Commission on 2023 Census,Preparation and approval of conecpt note
CA,Customer Enumeration - Strategic Partnership with National Population Commission on 2023 Census,Development of MOU
CA,Customer Enumeration - Strategic Partnership with National Population Commission on 2023 Census,Signing of MOU
CA,Customer Enumeration - Strategic Partnership with National Population Commission on 2023 Census,Implementation of MOU
CA,Customer Enumeration - Strategic Partnership with National Population Commission on 2023 Census,Report
CA,Call Centre Implementation,Prepare Call Center Implementation Plan
CA,Call Centre Implementation,Constitution of Project Implementation Committee
CA,Call Centre Implementation,Request for data with respect to Discos’ Call Center
CA,Call Centre Implementation,Inception Meeting with Consultant
CA,Call Centre Implementation,"Development of FAQs, complaint categories, training materials etc."
CA,Call Centre Implementation,Development and implementation of Awareness Campaign Plan
CA,Call Centre Implementation,Organize virtual interactive with Representatives of DISCOs
CA,Call Centre Implementation,Organize Training for Call Agents and specific NERC Staff
CA,Call Centre Implementation,Call Center Configuration
CA,Call Centre Implementation,CRM configuration
CA,Call Centre Implementation,Commissioning of Call Center
CA,Forum Office Publicity - Airing of Jingles,Request for most listened Radio Statations and Cost from Forum Sec
CA,Forum Office Publicity - Airing of Jingles,Collate report and send to PAD
CA,Forum Office Publicity - Airing of Jingles,PAD to make submission and resquest for Commission approval for Airing of Jingles
CA,Forum Office Publicity - Airing of Jingles,Develop metrics for monitoring and measuring impact of jingles
CA,Forum Office Publicity - Airing of Jingles,Monitoring airing of Jingles
CA,Forum Office Publicity - Airing of Jingles,Quarterly Report
CA,Forum Office Publicity - Airing of Jingles,Quaterly Report
CA,Forum Member Training,Selection of Forum Members to be Trained
CA,Forum Member Training,Preparation and approval of Implementation Memo
CA,Forum Member Training,Logistics and Implementation of  Training
MCR,Amendment of Trading Licence Requirements in the Existing Licensing Regulation (schedule 1F),Desktop Research on Trading License Requirements
MCR,Amendment of Trading Licence Requirements in the Existing Licensing Regulation (schedule 1F),Develop Commercial Requirements for Trading Licence - Amendment of Schedule F
MCR,Amendment of Trading Licence Requirements in the Existing Licensing Regulation (schedule 1F),Internal Review  of Commercial Requirements
MCR,Amendment of Trading Licence Requirements in the Existing Licensing Regulation (schedule 1F),Submit recommended Commercial Requirements to LL&C
MCR,Amendment of Trading Licence Requirements in the Existing Licensing Regulation (schedule 1F),Post approved consultation paper on website
MCR,Amendment of Trading Licence Requirements in the Existing Licensing Regulation (schedule 1F),Receipt and Review of  inputs from Stakeholders
MCR,Amendment of Trading Licence Requirements in the Existing Licensing Regulation (schedule 1F),Conduct the cosultation across the geopolitical zones
MCR,Amendment of Trading Licence Requirements in the Existing Licensing Regulation (schedule 1F),Review outcome of the Consultation
MCR,Amendment of Trading Licence Requirements in the Existing Licensing Regulation (schedule 1F),Review the regulation based on outcome of the consultation
MCR,Amendment of Trading Licence Requirements in the Existing Licensing Regulation (schedule 1F),Post the reviewed regulation on the website with amended Schedule F
MCR,Amendment of the Market Rules,Nomination and Set up of stakeholder committee - MRRT (Driven by the iSAP/MO)
MCR,Amendment of the Market Rules,First Meeting of MRRT
MCR,Amendment of the Market Rules,Second Meeting of MRRT
MCR,Amendment of the Market Rules,Third Meeting of MRRT
MCR,Amendment of the Market Rules,Response from DISCOS in respect of amendment of the Rules to include Escrow Account Administration
MCR,Amendment of the Market Rules,Circulation of the Letter to iSAP members for review
MCR,Amendment of the Market Rules,Submission of iSAP's position on item 5 to the Commisison
MCR,Amendment of the Market Rules,Meeting of iSAP and MRRT to review amendment submission
MCR,Amendment of the Market Rules,Final review of Amended Document
MCR,Amendment of the Market Rules,Submission of Amended Document to the Commission for approval
MCR,Review of Security Challenges and the resultant Revenue losses in the NESI,Update and present the framework to address the challenges
MCR,Review of Security Challenges and the resultant Revenue losses in the NESI,Invite the Consultant to present and discuss the proposal on the assessment of risk level and implementation framework with the Commission
MCR,Review of Security Challenges and the resultant Revenue losses in the NESI,"Engaging the relevant stakeholders (BPE, ONSA, FMP, etc) to discuss framework and the consultant proposal"
MCR,Review of Security Challenges and the resultant Revenue losses in the NESI,Seek NERC/BPE approval of the finalized framework to begin implementation.
MCR,Review of Security Challenges and the resultant Revenue losses in the NESI,"Communicate the Discos, the NERC/BPE approved framework to address security challenges"
MCR,Monitoring of world Bank/PSRO performance indicator for compliance with Disbursement Linked Indicator (DLI),Keeping track of DLR/DLI deliverables and timeline.
MCR,Monitoring of world Bank/PSRO performance indicator for compliance with Disbursement Linked Indicator (DLI),Receive progress report from the relevant task officers regarding the DLRs/DLIs and discuss challenges that may affect deadlines.
MCR,Monitoring of world Bank/PSRO performance indicator for compliance with Disbursement Linked Indicator (DLI),Liaising with the PSRO office(r) to discuss progress and challenges.
MCR,Monitoring of world Bank/PSRO performance indicator for compliance with Disbursement Linked Indicator (DLI),Gather and submit all data requested by PSRO office for validity verification of DLRs/DLIs requirement.
MCR,Implementation of Regulatory netoffs and monitoring of credit notes issued to Discos,Submission of reviewed data from NBET.
MCR,Implementation of Regulatory netoffs and monitoring of credit notes issued to Discos,Meetings with NBET.
MCR,Implementation of Regulatory netoffs and monitoring of credit notes issued to Discos,Computation of Tariff shortfall and share of MO and NBET share of Tariif shortfall
MCR,Implementation of Regulatory netoffs and monitoring of credit notes issued to Discos,Submission of the computed figures and memo to  VC.
CO,Process & Risk Audit,Chairman's Office Division
CO,Process & Risk Audit,"Legal, Licensing & Compliance Division"
CO,Process & Risk Audit,Engineering & Performance Monitoring Division
CO,Public Enlightenment,Public enlightenment on Energy Cap
CO,Quarterly Media Briefings,Media  Briefing (1)
CO,Quarterly Media Briefings,Media Briefing (2)
CO,Quarterly Media Briefings,Media Briefing (3)
CO,Targeted Media Campaigns,Media Campaign on Investments in the Network
CO,Targeted Media Campaigns,Secure Commission's approval for campaign implementation
CO,Targeted Media Campaigns,Get approval for communication script and implementation plan
CO,Targeted Media Campaigns,Develop messaging and creatives
CO,Targeted Media Campaigns,Start media campaign
CO,Targeted Media Campaigns,Media Campaign on Power Sector Revovery Program
CO,Targeted Media Campaigns,Get approval for communication script and implementation plan
CO,Engagement with NASS on the power sector,Targeted engagement with NASS
CO,Engagement with NASS on the power sector,"Get Commission's approval for engagement, theme and budget for NASS engagement"
CO,Engagement with NASS on the power sector,Send out an invitation
CO,Engagement with NASS on the power sector,Implementation
CO,"Procurement of goods, works and services in support of the Commission's 2023 workplan","Constitution of a Procurement Planning Committee (""PPC"")"
CO,"Procurement of goods, works and services in support of the Commission's 2023 workplan",Development of an efficient procurement plan by PPC in conjunction with the Procurement Unit
CO,"Procurement of goods, works and services in support of the Commission's 2023 workplan","Identification of needs (goods, work and consultancy) assessment & cost estimates"
CO,"Procurement of goods, works and services in support of the Commission's 2023 workplan",Approval of the 2023 Procurement Plan
CO,"Procurement of goods, works and services in support of the Commission's 2023 workplan",Implementation of the procurement plan
CO,Board Co-ordination,Co-ordination of the Commission's formal meetings as a board and the meetings of the Commission as a board with licensees and other stakeholders
CO,Vital Records/Information Management,"Record-keeping, safe custody, effective communication, management and retrieval of the Commission's vital records"
CO,NERC FOI Desk,Annual FOI report to the Ministry of Justice
CO,NERC FOI Desk,Co-ordination/tracking of requests/management of processes under the Freedom of Information Act
CO,Administrative proceedings/Hearings,Hearing Registry for administrative proceedings/hearings - LLC led
CO,"Corporate Governance of NESI (""Fit & Proper"" assessment)","KYL Assessment Secretariat for determination of persons holding key management positions in licensee companies as ""fit & proper"" - LLC led"
CO,Review and oversight of DRP Processes,Review and oversight of DRP processes to align with expectations of NESI - LLC led
CO,Review and oversight of DRP Processes,Initial Meeting with DRC on revised process for DRP
CO,Review and oversight of DRP Processes,Review of initial submission by the DRC on revised process for DRP
CO,Review and oversight of DRP Processes,Review of updated submission by DRC
CO,Review and oversight of DRP Processes,Training of DRP members
CO,NESI Meetings,NESI Meeting Secretariat - PRS led
CO,Resolution of Appeals from Forum Offices,"Support to Inter Divisional Committee on the Resolution of Appeals (""IDCRA"") - CA led"
CO,Resolution of Appeals from Forum Offices,Development of template/guidance for formal responses on decisions on appeal
CO,Resolution of Appeals from Forum Offices,General support to CA for review and finalisation of written processes
CO,Review of current regulations,Support for the process of reviewing current regulations - LLC led
CO,Review of current regulations,"Categorisation of regulations into buckets - Ok as is, relevant but requires review and no longer relevant."